cv_score,holdout_score,params,iteration,estimators,time
0.7540594947417422,0.7576476632547254,"{'objective': 'binary', 'learning_rate': 0.044632422989323774, 'num_leaves': 84, 'num_threads': 4, 'seed': 0, 'max_depth': 9, 'min_data_in_leaf': 48, 'bagging_fraction': 0.8278454389454927, 'bagging_freq': 5, 'feature_fraction': 0.7790238190882633, 'lambda_l1': (0.6284016175567734,), 'lambda_l2': (0.8293795249017696,), 'scale_pos_weight': 11, 'metric': 'auc'}",24,152,1.9921324213345846
0.7489745533378119,0.7554299495812725,"{'objective': 'binary', 'learning_rate': 0.11632246441519814, 'num_leaves': 108, 'num_threads': 4, 'seed': 0, 'max_depth': 10, 'min_data_in_leaf': 65, 'bagging_fraction': 0.8956856227115124, 'bagging_freq': 5, 'feature_fraction': 0.8533260790425343, 'lambda_l1': (0.5929622367696369,), 'lambda_l2': (0.003467529234200184,), 'scale_pos_weight': 11, 'metric': 'auc'}",25,61,1.051239534219106
0.7540489638554528,0.7583713038565585,"{'objective': 'binary', 'learning_rate': 0.06478897821952684, 'num_leaves': 35, 'num_threads': 4, 'seed': 0, 'max_depth': 4, 'min_data_in_leaf': 30, 'bagging_fraction': 0.9550910032618947, 'bagging_freq': 5, 'feature_fraction': 0.8375394704288185, 'lambda_l1': (0.8893311885410794,), 'lambda_l2': (0.6892289647039114,), 'scale_pos_weight': 11, 'metric': 'auc'}",26,200,1.2319214741388957
0.7519643084270727,0.7573662138204191,"{'objective': 'binary', 'learning_rate': 0.11538394913876719, 'num_leaves': 54, 'num_threads': 4, 'seed': 0, 'max_depth': 8, 'min_data_in_leaf': 79, 'bagging_fraction': 0.8670104019465553, 'bagging_freq': 5, 'feature_fraction': 0.7753689331253819, 'lambda_l1': (0.7213897393194272,), 'lambda_l2': (0.37837846162821365,), 'scale_pos_weight': 11, 'metric': 'auc'}",27,71,0.8046072045962016
0.7541443557564396,0.7582064689481363,"{'objective': 'binary', 'learning_rate': 0.03791613494923594, 'num_leaves': 93, 'num_threads': 4, 'seed': 0, 'max_depth': 9, 'min_data_in_leaf': 57, 'bagging_fraction': 0.8252780241930027, 'bagging_freq': 5, 'feature_fraction': 0.8818011133956577, 'lambda_l1': (0.29034675745106914,), 'lambda_l2': (0.5884926456159485,), 'scale_pos_weight': 11, 'metric': 'auc'}",28,171,2.5117799123128255
0.7543637344579902,0.7590294821542014,"{'objective': 'binary', 'learning_rate': 0.059857104913239145, 'num_leaves': 44, 'num_threads': 4, 'seed': 0, 'max_depth': 6, 'min_data_in_leaf': 100, 'bagging_fraction': 0.9968562737181087, 'bagging_freq': 5, 'feature_fraction': 0.9419759797928247, 'lambda_l1': (0.5519803283468258,), 'lambda_l2': (0.9970961749899667,), 'scale_pos_weight': 11, 'metric': 'auc'}",29,196,1.9326791763305664
0.7514857946913416,0.7574778303264527,"{'objective': 'binary', 'learning_rate': 0.15334667384112532, 'num_leaves': 126, 'num_threads': 4, 'seed': 0, 'max_depth': 5, 'min_data_in_leaf': 45, 'bagging_fraction': 0.9886467866322385, 'bagging_freq': 5, 'feature_fraction': 0.9489457365628091, 'lambda_l1': (0.7112073645212875,), 'lambda_l2': (0.9895193577848559,), 'scale_pos_weight': 11, 'metric': 'auc'}",30,95,0.8185874223709106
0.7528982514970084,0.7574689350623275,"{'objective': 'binary', 'learning_rate': 0.055021497480311446, 'num_leaves': 110, 'num_threads': 4, 'seed': 0, 'max_depth': 4, 'min_data_in_leaf': 30, 'bagging_fraction': 0.9991232221777244, 'bagging_freq': 5, 'feature_fraction': 0.9935828543946778, 'lambda_l1': (0.5632574161269088,), 'lambda_l2': (0.8819872009321703,), 'scale_pos_weight': 11, 'metric': 'auc'}",31,200,1.445230495929718
0.7540965233907273,0.7591108932359193,"{'objective': 'binary', 'learning_rate': 0.08179856823093407, 'num_leaves': 29, 'num_threads': 4, 'seed': 0, 'max_depth': 6, 'min_data_in_leaf': 36, 'bagging_fraction': 0.9685736259321382, 'bagging_freq': 5, 'feature_fraction': 0.7763683494193132, 'lambda_l1': (0.8863362819456949,), 'lambda_l2': (0.7964572555475815,), 'scale_pos_weight': 11, 'metric': 'auc'}",32,153,1.2503562490145366
0.7539477568438866,0.7582926215583085,"{'objective': 'binary', 'learning_rate': 0.08472621661852785, 'num_leaves': 29, 'num_threads': 4, 'seed': 0, 'max_depth': 5, 'min_data_in_leaf': 35, 'bagging_fraction': 0.9656549810012373, 'bagging_freq': 5, 'feature_fraction': 0.7747672339645068, 'lambda_l1': (0.9989305173465876,), 'lambda_l2': (0.7755370405219438,), 'scale_pos_weight': 11, 'metric': 'auc'}",33,167,1.2142379522323608
0.7535889803166396,0.7587033319692977,"{'objective': 'binary', 'learning_rate': 0.14680666068661, 'num_leaves': 88, 'num_threads': 4, 'seed': 0, 'max_depth': 3, 'min_data_in_leaf': 28, 'bagging_fraction': 0.9434971897602766, 'bagging_freq': 5, 'feature_fraction': 0.7903993043810175, 'lambda_l1': (0.8349800170073303,), 'lambda_l2': (0.7159230074366265,), 'scale_pos_weight': 11, 'metric': 'auc'}",34,198,0.9362621307373047
